A- :  without or lack of
STI :  sexually transmitted Infections, skin test dose
SX :  symptom, sign, surgery 
TBC :  tuberculosis, total blood (cell) count
TENS :  transcutaneous electric nerve stimulation 
TIA :  transient ischemic attack
TKO :  to keep open 
TPR :  temperature, pulse, respiration 
UE :  upper extremity 
ung :  ointment 
URI :  upper respiratory infection 
US :  ultrasound, unit secretary 
UTD :  up to date 
UTI :  urinary tract infection 
VO :  verbal order 
WBC :  white blood cells or white blood count 
X &amp; D :  examination and diagnosis 
YO :  years old
